년,월,국적지역,체류외국인수
2022,05,아프가니스탄,856
2022,05,안도라,2
2022,05,알바니아,52
2022,05,알제리,482
2022,05,앙골라,149
2022,05,앤티카바부다,1
2022,05,에리트레아,15
2022,05,에스와티니,23
2022,05,에스토니아,64
2022,05,에콰도르,308
2022,05,에티오피아,1090
2022,05,엘살바도르,64
2022,05,영국,7592
2022,05,영국속령지시민,1
2022,05,영국외지민,83
2022,05,영국외지시민,1
2022,05,예멘공화국,1098
2022,05,오만,77
2022,05,오스트레일리아,9316
2022,05,오스트리아,511
2022,05,온두라스,75
2022,05,요르단,519
2022,05,우간다,517
2022,05,우루과이,49
2022,05,우즈베키스탄,68546
2022,05,우크라이나,4450
2022,05,유고슬라비아,1
2022,05,이라크,596
2022,05,이란,1986
2022,05,이스라엘,358
2022,05,이집트,2851
2022,05,이탈리아,1549
2022,05,인도,12585
2022,05,인도네시아,36399
2022,05,일본,30086
2022,05,자메이카,62
2022,05,자이르,7
2022,05,잠비아,109
2022,05,적도기니,12
2022,05,조지아,101
2022,05,중국,223307
2022,05,중앙아프리카공화국,13
2022,05,지부티,5
2022,05,짐바브웨,120
2022,05,차드,11
2022,05,체코,256
2022,05,칠레,328
2022,05,카메룬,857
2022,05,카보베르데,1
2022,05,카자흐스탄,31482
2022,05,카타르,62
2022,05,캄보디아,42341
2022,05,캐나다,26290
2022,05,케냐,428
2022,05,코모로,4
2022,05,코소보,5
2022,05,코스타리카,111
2022,05,코트디부아르,210
2022,05,콜롬비아,656
2022,05,콩고,34
2022,05,콩고민주공화국,272
2022,05,쿠바,39
2022,05,쿠웨이트,90
2022,05,크로아티아,114
2022,05,키르기즈,6849
2022,05,키리바시,1
2022,05,키프로스,33
2022,05,태국,174721
2022,05,타이완,18870
2022,05,타지키스탄,1436
2022,05,탄자니아,330
2022,05,터키,3315
2022,05,토고,48
2022,05,통가,5
2022,05,투르크메니스탄,438
2022,05,튀니지,365
2022,05,트리니다드토바고,25
2022,05,티모르민주공화국,2766
2022,05,파나마,84
2022,05,파라과이,218
2022,05,파키스탄,12788
2022,05,파푸아뉴기니,15
2022,05,팔라우,10
2022,05,팔레스타인,66
2022,05,페루,770
2022,05,포르투갈,275
2022,05,폴란드,742
2022,05,프랑스,7034
2022,05,피지,79
